#,单词,音标,解释,笔记,选中次数,正确次数,是否训练
20,about,英:/əˈbaʊt/ 美:/əˈbaʊt/,prep. 关于；大约 adj. 四处走动的,,0,0,1
21,above,英:/ə'bʌv/ 美:/ə'bʌv/,prep. 在……上面；在……之上；超过 adv. 在上面；在上文,,0,0,1
22,above-mentioned,"英:/ə,bʌv'menʃənd/ 美:/əˈbʌvˌmɛnʃənd/",adj. 上述的,,1,1,1
23,abreast,英:/əˈbrest/ 美:/əˈbrest/,adv. 并肩地；并列 adj. 并排的；肩并肩的,,0,0,1
24,abridge,英:/əˈbrɪdʒ/ 美:/əˈbrɪdʒ/,vt. 删节；缩短；节略,,0,0,1
25,abroad,英:/ə'brɔːd/ 美:/ə'brɔd/,adv. 到海外；在国外 adj. 往国外的,,0,0,1
26,abrogate,英:/ˈæbrəɡeɪt/ 美:/ˈæbrəɡeɪt/,vt. 废除；取消,,0,0,1
27,abrogation,/ˌæbrəu'ɡeiʃən/,n. 废除；取消,,0,0,1
28,abrupt,英:/əˈbrʌpt/ 美:/əˈbrʌpt/,adj. 突然的；唐突的；陡峭的；生硬的,,0,0,1
29,abruptly,/ə'brʌptli/,adv. 突然地；唐突地,,0,0,1
30,absence,英:/ˈæbsəns/ 美:/ˈæbsəns/,n. 缺席；缺乏；没有；不注意,,0,0,1
31,absent,英:/ˈæbsənt/ 美:/ˈæbsənt/,adj. 缺席的；缺少的；心不在焉的；茫然的 vt. 使缺席,,0,0,1
32,absent-minded,英:/'æbsənt'maindid/ 美:/ˌæbsəntˈmaɪndɪd/,adj. 心不在焉的,,0,0,1
33,absolute,英:/ˈæbsəluːt/ 美:/ˈæbsəluːt/,adj. 绝对的；完全的；专制的 n. 绝对事物；绝对,,0,0,1
34,absolutely,英:/'æbsəlju:tli/ 美:/ˈæbsəˌlutli/,adv. 完全地；绝对地；[语]独立地 int. （表示赞同）完全正确，一点没错,,0,0,1
35,absorb,英:/əbˈzɔːb/ 美:/əbˈzɔːrb/,vt. 吸收；吸引；承受；理解；使…全神贯注,,0,0,1
36,absorption,英:/əbˈzɔːpʃn/ 美:/əbˈzɔːrpʃn/,n. 吸收，吸收作用；全神贯注，专心致志；合并；同化,,0,0,1
37,abstract,英:/ˈæbstrækt/ 美:/ˈæbstrækt/,n. 抽象；摘要；抽象的概念 adj. 抽象的；深奥的,,0,0,1
38,abstraction,英:/əb'strækʃ(ə)n/ 美:/æb'strækʃən/,n. 抽象；抽象概念；心不在焉,,0,0,1
39,absurd,英:/əbˈsɜːd/ 美:/əbˈsɜːrd/,adj. 荒谬的；可笑的 n. 荒诞；荒诞作品,,0,0,1
40,absurdity,英:/əb'sɜːdɪtɪ/ 美:/əb'sɝdəti/,n. 荒谬；悖理；荒谬的事,,0,0,1
41,abundance,英:/əˈbʌndəns/ 美:/əˈbʌndəns/,"n. 大量, 充足",,0,0,1
42,abundant,英:/əˈbʌndənt/ 美:/əˈbʌndənt/,adj. 充裕的；丰富的；盛产,,0,0,1
43,abuse,英:/əˈbjuːs/ 美:/əˈbjuːs/,n. 滥用；辱骂；虐待；弊端；恶习，陋习 vt. 滥用；辱骂；虐待,,0,0,1
44,academic,英:/ˌækəˈdemɪk/ 美:/ˌækəˈdemɪk/,adj. 学院的；学术的；理论的 n. 大学生，大学教师；学者,,0,0,1
45,academy,英:/əˈkædəmi/ 美:/əˈkædəmi/,n. 学会；学院；研究院；专科院校,,0,0,1
46,accede,英:/əkˈsiːd/ 美:/əkˈsiːd/,vi. 同意；加入；就任,,0,0,1
47,accelerate,英:/əkˈseləreɪt/ 美:/əkˈseləreɪt/,"vt. & vi. (使)加快, (使)增速",,0,0,1
48,acceleration,英:/əkselə'reɪʃ(ə)n/ 美:/ək'sɛlə'reʃən/,n. 加速；促进；加速度,,0,0,1
49,accent,英:/ˈæksent/ 美:/ˈæksent/,n. 口音；重音；重音符号；强调；特点 vt. 重读；强调；带…口音讲话,,0,0,1
50,accept,英:/ək'sept/ 美:/ək'sɛpt/,vt. 接受；承认；承担；承兑；容纳 vi. 同意；承认；承兑,,0,0,1
51,acceptable,英:/əkˈseptəbl/ 美:/əkˈseptəbl/,adj. 合意的；受欢迎的；可接受的,,0,0,1
52,acceptance,英:/əkˈseptəns/ 美:/əkˈseptəns/,"n. 接受, 认可 赞成, 赞同",,0,0,1
53,access,英:/ˈækses/ 美:/ˈækses/,n. 入口；通道 n. 接近(的机会)；使用之权 vt. 进入；(电脑)存取,,0,0,1
54,accessible,英:/əkˈsesəbl/ 美:/əkˈsesəbl/,adj. 可得到的；易接近的；可进入的；易受影响的；易理解的,,0,0,1
55,accessory,英:/əkˈsesəri/ 美:/əkˈsesəri/,"n. 附件, 配件 同谋, 帮凶, 包庇犯",,0,0,1
56,accident,英:/ˈæksɪdənt/ 美:/ˈæksɪdənt/,n. 事故；机遇；意外事件；意外,,0,0,1
57,accidental,英:/ˌæksɪˈdentl/ 美:/ˌæksɪˈdentl/,adj.  意外的； 偶然的； 附属的 n.  偶然； 不重要的东西； 变调的临时符号,,0,0,1
58,accidentally,英:/ˌæksɪˈdentəli/ 美:/ˌæksɪˈdentəli/,adv. 偶然地；意外地；非故意地 故作意外地；有意装无意地,,0,0,1
59,accommodate,英:/əˈkɒmədeɪt/ 美:/əˈkɑːmədeɪt/,"vt. 容纳；向…提供住处；使适应, 顺应",,0,0,1
60,accommodation,英:/əˌkɒməˈdeɪʃn/ 美:/əˌkɑːməˈdeɪʃn/,n. 住处(尤指仅供短期使用的),,0,0,1
61,accompaniment,英:/ə'kʌmp(ə)nɪm(ə)nt/ 美:/ə'kʌmpənɪmənt/,n. 伴唱（奏）；伴随物；补充物；伴随情况,,0,0,1
62,accompany,英:/əˈkʌmpəni/ 美:/əˈkʌmpəni/,vt. 陪伴；伴随...发生；补充；给 ... 伴奏 vi. 伴奏,,0,0,1
63,accomplish,英:/əˈkʌmplɪʃ/ 美:/əˈkɑːmplɪʃ/,vt. 完成；实现,,0,0,1
64,accomplishment,英:/əˈkʌmplɪʃmənt/ 美:/əˈkɑːmplɪʃmənt/,"n. 完成，实现 技能, (社交上的)才艺 成绩；成就；完成的工作",,0,0,1
65,accord,英:/əˈkɔːd/ 美:/əˈkɔːrd/,n. 一致；符合；协议；自愿 vt. 使一致；给予,,0,0,1
66,accordance,英:/əˈkɔːdns/ 美:/əˈkɔːrdns/,"n. 一致, 和谐, 符合",,0,0,1
67,according,英:/ə'kɔːdɪŋ/ 美:/ə'kɔrdɪŋ/,adj. 依照，根据，符合，配合（后接to）,,0,0,1
68,accordingly,英:/əˈkɔːdɪŋli/ 美:/əˈkɔːrdɪŋli/,"adv. 照着, 相应地 因此, 所以, 于是",,0,0,1
69,account,英:/əˈkaʊnt/ 美:/əˈkaʊnt/,n. （银行等的）账户；账，账目；（互联网、电子邮件等的）账户，账号；赊销账；赊欠账；赊购；固定客户，老主顾（尤指公司）；（书面或口头的）记述，描述，陈述，报告；（思想、理论、过程的）解释，说明，叙述 v. 认为是；视为,,0,0,1
70,account for,,对…负有责任；对…做出解释；说明……的原因,,1,0,1
71,accountable,英:/əˈkaʊntəbl/ 美:/əˈkaʊntəbl/,adj. 负有责任的；可说明的,,1,1,1
72,accountant,英:/əˈkaʊntənt/ 美:/əˈkaʊntənt/,n. 会计人员；会计师,,0,0,1
73,accounting,英:/əˈkaʊntɪŋ/ 美:/əˈkaʊntɪŋ/,n. 会计,,0,0,1
74,accrue,英:/əˈkruː/ 美:/əˈkruː/,vi. 自然增加；积累；生成 vt. 积累,,1,0,1
75,accrued,/ə'krud/,adj. 应计的；增值的；权责已发生的 v. 形成；积累（accrue的过去分词）,,0,0,1
76,accumulate,英:/əˈkjuːmjəleɪt/ 美:/əˈkjuːmjəleɪt/,vt. & vi. 堆积; 积累,,0,0,1
77,accumulation,英:/əˌkjuːmjəˈleɪʃn/ 美:/əˌkjuːmjəˈleɪʃn/,n. 积聚；累积；积聚物,,0,0,1
78,accumulative,英:/ə'kjuːmjʊlətɪv/ 美:/ə'kjumjələtɪv/,"adj. 积聚的,累积的",,0,0,1
79,accuracy,英:/ˈækjərəsi/ 美:/ˈækjərəsi/,n. 精确度，准确性,,0,0,1
80,accurate,英:/ˈækjərət/ 美:/ˈækjərət/,"adj. 精确的, 准确的，正确无误的",,0,0,1
81,accurately,英:/ˈækjurətlɪ/ 美:/'ækjərɪtli/,adv. 准确地；精确地,,0,0,1
82,accusation,英:/ˌækjuˈzeɪʃn/ 美:/ˌækjuˈzeɪʃn/,n. 指责；指控；控告 (被告发、控告的)罪名，罪状,,0,0,1
83,accuse,英:/əˈkjuːz/ 美:/əˈkjuːz/,v. 控告；控诉；谴责；归咎于,,0,0,1
84,accustom,英:/əˈkʌstəm/ 美:/əˈkʌstəm/,vt. 使习惯于,,0,0,1
85,ache,英:/eɪk/ 美:/eɪk/,vi. 疼痛；渴望 n. 疼痛,,0,0,1
86,achieve,英:/ə'tʃiːv/ 美:/ə'tʃiv/,vt. 完成；达到 vi. 达到目的；如愿以偿,,0,0,1
87,achievement,英:/əˈtʃiːvmənt/ 美:/əˈtʃiːvmənt/,n.完成，达到;成就，成绩,,0,0,1
88,aching,英:/'eikiŋ/ 美:/ˈekɪŋ/,adj. 疼痛的；心痛的 v. 疼痛；渴望（ache的现在分词形式）,,0,0,1
89,acid,英:/ˈæsɪd/ 美:/ˈæsɪd/,n. 酸，迷幻药 adj. 酸的，讽刺的，刻薄的,,0,0,1
90,acknowledge,英:/əkˈnɒlɪdʒ/ 美:/əkˈnɑːlɪdʒ/,vt. 承认；告知收到；公认；表示感谢；注意到,,0,0,1
91,acknowledgment,英:/əkˈnɒlɪdʒmənt/ 美:/əkˈnɑlɪdʒmənt/,n. 承认；感谢；收件复函,,0,0,1
92,acquaint,英:/əˈkweɪnt/ 美:/əˈkweɪnt/,vt. 使认识；使熟悉,,0,0,1
93,acquaintance,英:/əˈkweɪntəns/ 美:/əˈkweɪntəns/,"n. 相识的人, 熟人 对…有了解, 熟知, 认识",,0,0,1
94,acquainted,英:/əˈkweɪntɪd/ 美:/ə'kwentɪd/,adj. 熟悉的；认识的；了解的；有知识的,,0,0,1
95,acquire,英:/əˈkwaɪə(r)/ 美:/əˈkwaɪər/,vt. 获得；学到；取得；捕获,收买,0,0,1
96,acquisition,英:/ˌækwɪˈzɪʃn/ 美:/ˌækwɪˈzɪʃn/,n. 获得物，获得；收购,,0,0,1
97,acre,英:/ˈeɪkə(r)/ 美:/ˈeɪkər/,n. 英亩；土地，地产,,1,1,1
98,acrobat,英:/ˈækrəbæt/ 美:/ˈækrəbæt/,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者,,0,0,1
99,acrobatics,英:/ækrə'bætɪks/ 美:/ˌækrə'bætɪks/,n. 杂技，杂技表演 杂技艺术，技巧，特技 巧妙手法；熟练技巧 特技飞行,,0,0,1
100,acronym,英:/'ækrənɪm/ 美:/'ækrənɪm/,n. 首字母缩略词,,0,0,1
101,across,英:/ə'krɒs/ 美:/ə'krɔs/,prep. 横穿 adv. 横过,,0,0,1
102,act,英:/ækt/ 美:/ækt/,n. 行为；行动；法案；(戏剧、歌剧等的)一幕；假装 v. 行动；举止；假装；表演；扮演；充当；有效果,,0,0,1
103,action,英:/'ækʃ(ə)n/ 美:/'ækʃən/,n. 行动；活动；功能；情节；战斗,,0,0,1
104,activate,英:/ˈæktɪveɪt/ 美:/ˈæktɪveɪt/,vt. 刺激；使活泼；使活动；使产生放射性 vi. 有活力；激活,,0,0,1
105,active,英:/'æktɪv/ 美:/'æktɪv/,adj. 主动的；有效的；积极的；活跃的；现役的 n. 主动语态；积极分子,,0,0,1
106,actively,/'æktivli/,adv. 积极地；活跃地,,0,0,1
107,activity,英:/æk'tɪvɪtɪ/ 美:/æk'tɪvəti/,n. 活动；活跃；行动,,0,0,1
108,actor,英:/'æktə/ 美:/'æktɚ/,n. 行动者；男演员；作用物,,0,0,1
109,actress,英:/'æktrɪs/ 美:/'æktrəs/,n. 女演员,,0,0,1
110,actual,英:/ˈæktʃuəl/ 美:/ˈæktʃuəl/,adj. 真实的，实际的；现行的，目前的,,0,0,1
111,actuality,英:/æktjʊ'ælɪtɪ/ 美:/ˌæktʃu'æləti/,n. 实在；现实；现状,,0,0,1
112,actually,英:/ˈæktʃuəli/ 美:/ˈæktʃuəli/,adv. 实际上；事实上,,1,1,1
113,acute,英:/əˈkjuːt/ 美:/əˈkjuːt/,adj. 严重的；敏锐的；急性的；剧烈的,,0,0,1
114,AD,英:/æd/ 美:/'e 'di/,n. 公元；广告（ad）,,0,0,1
115,adapt,英:/əˈdæpt/ 美:/əˈdæpt/,v. 使适应；改编,,0,0,1
116,adaptation,英:/ˌædæpˈteɪʃn/ 美:/ˌædæpˈteɪʃn/,n. 改编；改编成的作品；适应；【心】（感官）适应，适应性变化,,0,0,1
117,add,英:/æd/ 美:/æd/,vi. 加；增加；加起来；做加法 vt. 增加，添加；补充说；计算…总和,,0,0,1
118,addition,英:/əˈdɪʃn/ 美:/əˈdɪʃn/,n. 添加；增加物；加法,,0,0,1
119,additional,英:/əˈdɪʃənl/ 美:/əˈdɪʃənl/,"adj. 增加的, 额外的, 另外的",,0,0,1
120,additive,英:/ˈædətɪv/ 美:/ˈædətɪv/,n. 添加剂，添加物 adj. 附加的；加法的,,0,0,1
121,address,"英:/əˈdres/ 美:/əˈdres , ˈædres/",v. 写（收信人）姓名地址；演讲；称呼（某人）；设法解决 n. 地址；网址；演讲,,0,0,1
122,adequate,英:/ˈædɪkwət/ 美:/ˈædɪkwət/,adj. 适当的；胜任的；充足的,,0,0,1
123,adequately,英:/ˈædɪkwətli/ 美:/ˈædɪkwətli/,adv. 足够地,,0,0,1
124,adhere,英:/ədˈhɪə(r)/ 美:/ədˈhɪr/,vi. 坚持；粘着；依附；追随 vt. 使粘附,,0,0,1
125,adhesive,英:/ədˈhiːsɪv/ 美:/ədˈhiːsɪv/,n. 粘合剂；胶黏剂 adj. 带粘性的；粘着的,,0,0,1
126,adjacent,英:/əˈdʒeɪsnt/ 美:/əˈdʒeɪsnt/,adj. 邻近的，毗连的,,1,1,1
127,adjective,英:/ˈædʒɪktɪv/ 美:/ˈædʒɪktɪv/,n. 形容词,,1,0,1
128,adjoin,英:/əˈdʒɔɪn/ 美:/əˈdʒɔɪn/,vi. 毗连，邻接 vt. 毗连，邻接,,0,0,1
129,adjust,英:/əˈdʒʌst/ 美:/əˈdʒʌst/,vt. 校准；调整，使…适合 vi. 调整，校准；适应,,0,0,1
130,adjustable,英:/əˈdʒʌstəbl/ 美:/ə'dʒʌstəbl/,adj. 可调整的,,0,0,1
131,adjustment,英:/əˈdʒʌstmənt/ 美:/əˈdʒʌstmənt/,n. 调整；调节,,0,0,1
132,administer,英:/ədˈmɪnɪstə(r)/ 美:/ədˈmɪnɪstər/,"vt. 管理, 支配 给予 执行, 实施",,0,0,1
133,administration,英:/ədˌmɪnɪˈstreɪʃn/ 美:/ədˌmɪnɪˈstreɪʃn/,"n. 实行, 执行 管理, 经营, 支配 政府, 内阁",,0,0,1
134,administrative,英:/ədˈmɪnɪstrətɪv/ 美:/ədˈmɪnɪstreɪtɪv/,"adj. 行政的, 管理的;经营的 后方勤务的",,0,0,1
135,admirable,英:/ˈædmərəbl/ 美:/ˈædmərəbl/,adj. 令人钦佩的；令人赞赏的,,0,0,1
136,admiration,英:/ˌædməˈreɪʃn/ 美:/ˌædməˈreɪʃn/,n. 钦佩;赞赏 引人赞美的人或物 怀着对…的赞美 令人钦佩地；出色地,,0,0,1
137,admire,英:/ədˈmaɪə(r)/ 美:/ədˈmaɪər/,v. 欣赏，赞赏；钦佩，仰慕,,0,0,1
138,admission,英:/ədˈmɪʃn/ 美:/ədˈmɪʃn/,n. 承认；入会费；许可,,0,0,1
139,admit,英:/ədˈmɪt/ 美:/ədˈmɪt/,vt. 承认；准许进入；可容纳 vi. 承认；容许,,0,0,1
140,admittedly,英:/əd'mɪtɪdlɪ/ 美:/əd'mɪtɪdli/,"adv. 诚然;确实地, 无可否认地",,0,0,1
141,adolescence,英:/ædə'les(ə)ns/ 美:/ˌædə'lɛsns/,n. 青春期,,0,0,1
142,adolescent,英:/ˌædəˈlesnt/ 美:/ˌædəˈlesnt/,adj. 青春期的；青少年的 n. 青少年,,0,0,1
143,adopt,英:/əˈdɒpt/ 美:/əˈdɑːpt/,vt. 收养；采取；接受；正式通过 vi. 过继；采取,,0,0,1
144,adoption,英:/əˈdɒpʃn/ 美:/əˈdɑːpʃn/,n. 采用；收养；接受,,0,0,1
145,adore,英:/əˈdɔː(r)/ 美:/əˈdɔːr/,vt. 爱慕；崇拜；喜爱；[口]极喜欢 vi. 爱慕；崇拜,,0,0,1
146,adorn,英:/əˈdɔːn/ 美:/əˈdɔːrn/,vt. 装饰；使生色,,0,0,1
147,adornment,英:/əˈdɔːnmənt/ 美:/əˈdɔːrnmənt/,"n. 装饰,装饰品",,0,0,1
148,adult,英:/ˈædʌlt，əˈdʌlt/ 美:/ˈædʌlt，əˈdʌlt/,"adj. 成熟的；成年人的, 适宜于成年人的 n. 成年的人或动物",,0,0,1
149,advance,英:/ədˈvɑːns/ 美:/ədˈvæns/,n. 前进；预付款；发展；增长 vt. 预付；提出；使……前进；将……提前,,0,0,1
150,advanced,英:/ədˈvɑːnst/ 美:/ədˈvænst/,adj. 高级的；先进的；晚期的；年老的 v. 前进；增加；上涨（advance的过去式和过去分词形式）,,0,0,1
151,advantage,英:/ədˈvɑːntɪdʒ/ 美:/ədˈvæntɪdʒ/,"n. 有利条件, 有利因素, 优势 益处, 利益",,0,0,1
152,advantageous,英:/ˌædvənˈteɪdʒəs/ 美:/ˌædvənˈteɪdʒəs/,adj. 有利的；有助的；有益的,,0,0,1
153,advent,英:/ˈædvent/ 美:/ˈædvent/,n. 到来；出现；基督降临；基督降临节,,0,0,1
154,adventure,英:/ədˈventʃə(r)/ 美:/ədˈventʃər/,"n. 冒险活动; 冒险经历; 奇遇 冒险, 刺激 vt. & vi. 冒险",,1,0,1
155,adventurous,英:/ədˈventʃərəs/ 美:/ədˈventʃərəs/,adj. 爱冒险的；大胆的；冒险的；惊险的,,0,0,1
156,adverb,英:/ˈædvɜːb/ 美:/ˈædvɜːrb/,n. 副词 adj. 副词的,,0,0,1
157,adverbial,英:/əd'vɜːbɪəl/ 美:/əd'vɝbɪəl/,adj. 副词的；作副词用的 n. 状语,,0,0,1
158,adversary,英:/ˈædvəsəri/ 美:/ˈædvərseri/,"n. 对手, 敌手",,0,0,1
159,adverse,英:/ˈædvɜːs/ 美:/ədˈvɜːrs/,adj. 不利的；逆向的；有害的,,0,0,1
160,adversity,英:/ədˈvɜːsəti/ 美:/ədˈvɜːrsəti/,n. 逆境;厄运;(经济方面的)窘境 (常作-ties)灾祸;灾难;不幸,,0,0,1
161,advertise,英:/ˈædvətaɪz/ 美:/ˈædvərtaɪz/,"vt. 公布, 宣传 vt. & vi. (给…)做广告宣传",,0,0,1
162,advertisement,英:/ədˈvɜːtɪsmənt/ 美:/ˌædvərˈtaɪzmənt/,n. 广告,,0,0,1
163,advertising,英:/ˈædvətaɪzɪŋ/ 美:/ˈædvərtaɪzɪŋ/,"n. 广告, 广告宣传 adj. 广告的；广告业的；广告业务的",,0,0,1
164,advice,英:/əd'vaɪs/ 美:/əd'vaɪs/,n. 劝告；忠告；建议,,0,0,1
165,advisable,英:/ədˈvaɪzəbl/ 美:/ədˈvaɪzəbl/,adj. 明智的; 可取的,,0,0,1
166,advise,英:/ədˈvaɪz/ 美:/ədˈvaɪz/,vt. 劝告，忠告；通知；警告；建议 vi. 建议；与…商量,,0,0,1
167,adviser,英:/ədˈvaɪzə(r)/ 美:/ədˈvaɪzər/,n. 顾问；劝告者；指导教师（等于advisor）,,0,0,1
168,advocate,英:/ˈædvəkeɪt/ 美:/ˈædvəkeɪt/,vt. 提倡，主张，拥护 n. 提倡者；支持者；律师,,0,0,1
169,aerial,英:/ˈeəriəl/ 美:/ˈeriəl/,"adj. 空气的, 空中的 存在或悬浮于空中的, 架空的 n. 天线",,0,0,1
170,aeroplane,英:/'eərəpleɪn/ 美:/'ɛrə'plen/,n. 飞机,,1,1,1
171,affair,英:/əˈfeə(r)/ 美:/əˈfer/,n. 事情；事务；私事；（尤指关系不长久的）风流韵事,,0,0,1
172,affect,英:/əˈfekt/ 美:/əˈfekt/,vt. 影响；假装；感动；感染 vi. 倾向；喜欢,,0,0,1
173,affection,英:/əˈfekʃn/ 美:/əˈfekʃn/,n. 感情；喜爱，关爱；爱慕之情；影响,,0,0,1
174,affectionate,英:/əˈfekʃənət/ 美:/əˈfekʃənət/,"adj. 慈爱的,充满深情的,温柔亲切的",,0,0,1
175,affiliate,英:/əˈfɪlieɪt/ 美:/əˈfɪlieɪt/,v. （使）附属，隶属；加入，加盟，并入；接纳；紧密联系  n. 分支机构；子公司；分社；联号,,0,0,1
176,affirm,英:/əˈfɜːm/ 美:/əˈfɜːrm/,vt. 断言；肯定 vi. 断言；确认,,0,0,1
177,affirmation,英:/ˌæfəˈmeɪʃn/ 美:/ˌæfərˈmeɪʃn/,n. 肯定；确认 证实；批准 (不经宣誓而作的)证词,,0,0,1
178,affirmative,英:/ə'fɜːmətɪv/ 美:/ə'fɝmətɪv/,adj. 肯定的；正面的 n. 肯定词(如“yes”)；肯定语；(辩论中的)正方；赞成；肯定,,0,0,1
179,afford,英:/əˈfɔːd/ 美:/əˈfɔːrd/,vt. 给予，提供；买得起,,2,2,1
180,affordable,英:/əˈfɔːdəbl/ 美:/əˈfɔːrdəbl/,adj. 付得起的，买得起的，不太昂贵的,,0,0,1
181,afloat,英:/əˈfləʊt/ 美:/əˈfloʊt/,adj. 飘浮的；在海上的；浸满水的；在传播的 adv. 在海上；飘浮著；浸满水,,0,0,1
182,aforesaid,英:/ə'fɔːsed/ 美:/əˈfɔrˌsɛd/,adj. 上述的；前述的,,0,0,1
183,afraid,英:/ə'freɪd/ 美:/ə'fred/,adj. 害怕的；担心的；恐怕,,0,0,1
184,Africa,/'æfrikə/,n. 非洲,,0,0,1
185,African,英:/'æfrɪk(ə)n/ 美:/'æfrɪkən/,adj. 非洲的，非洲人的 n. 非洲人,,0,0,1
186,after,英:/'ɑːftə/ 美:/'æftɚ/,adv. 后来，以后 prep. 在……之后,,0,0,1
187,aftermath,英:/ˈɑːftəmæθ/ 美:/ˈæftərmæθ/,n. 后果；余波；灾后时期；再生作物,,0,0,1
188,afternoon,英:/ɑːftə'nuːn/ 美:/ˌæftɚ'nun/,n.下午；下午好,,0,0,1
189,afterward,英:/ˈɑ:ftəwəd/ 美:/ˈæftɚwɚd/,"adv. 以后, 过后, 后来",,0,0,1
190,afterwards,英:/ˈɑːftəwədz/ 美:/ˈæftərwərdz/,"adv. 然后,后来地",,0,0,1
191,again,英:/ə'gen/ 美:/ə'ɡɛn/,adv. 再一次；又，此外,,0,0,1
192,against,英:/ə'genst/ 美:/ə'ɡɛnst/,prep. 反对，违反；靠；倚；防备 adj. 对立的；不利的,,0,0,1
193,age,英:/eɪdʒ/ 美:/eɪdʒ/,n. 年龄；时代；阶段；寿命，使用年限 vi. 变老；成熟,,0,0,1
194,agency,英:/ˈeɪdʒənsi/ 美:/ˈeɪdʒənsi/,n. 代理，中介；代理处，经销处,,0,0,1
195,agent,英:/ˈeɪdʒənt/ 美:/ˈeɪdʒənt/,n. 代理人，代理商；药剂；特工 vt. 由…作中介；由…代理,,0,0,1
196,aggravate,英:/ˈæɡrəveɪt/ 美:/ˈæɡrəveɪt/,"vt. 使恶化, 使更严重 激怒, 使恼火",,0,0,1
197,aggravation,英:/ˌægrə'veɪʃn/ 美:/ˌægrə'veʃən/,n. 更恶化；加厉；恼怒；恼人的事,,0,0,1
198,aggregate,英:/ˈæɡrɪɡət/ 美:/ˈæɡrɪɡət/,"n. 〈正〉数, 总计 vt. 总计达… vt. & vi. (使)聚集",,0,0,1
199,aggregation,英:/ˌæɡrɪˈɡeɪʃn/ 美:/ˌæɡrɪˈɡeɪʃn/,"n. 聚集,集成;集结 聚集体,集成体",,0,0,1
200,aggression,英:/əˈɡreʃn/ 美:/əˈɡreʃn/,n. 进攻；侵犯；侵害；侵略,,0,0,1
201,aggressive,英:/əˈɡresɪv/ 美:/əˈɡresɪv/,adj. 侵略的；进攻性的；好斗的；有进取心的,,0,0,1
202,aggressor,英:/ə'gresə/ 美:/ə'ɡrɛsɚ/,n. 侵略者；攻击者,,1,1,1
203,agitate,英:/ˈædʒɪteɪt/ 美:/ˈædʒɪteɪt/,v. （尤指为法律、社会状况的改变而）激烈争论，鼓动，煽动；使激动；使焦虑；使狂躁不安；搅动；摇动（液体等）,,0,0,1
204,agitation,英:/ˌædʒɪˈteɪʃn/ 美:/ˌædʒɪˈteɪʃn/,激动，鼓动，搅动,,0,0,1
205,ago,英:/ə'gəʊ/ 美:/ə'ɡo/,adv. 以前，以往 adj. 过去的；以前的,,0,0,1
206,agonize,英:/ˈægəˌnaɪz/ 美:/'æɡənaɪz/,vi. 感到极度痛苦；挣扎 vt. 使极度痛苦；折磨,,0,0,1
207,agony,英:/ˈæɡəni/ 美:/ˈæɡəni/,n. 极大的痛苦；苦恼；临死的挣扎,,0,0,1
208,agree,英:/ə'griː/ 美:/ə'ɡri/,vt. 同意；赞成；承认 vi. 同意；意见一致,,0,0,1
